original_title,runtime,year_release,revenue_final_adjusted
Queen Christina,99.0,1933,26203407
The Power and the Glory,76.0,1933,5655548
Morning Glory,74.0,1933,5843058
She Done Him Wrong,66.0,1933,22087163
King Kong,100.0,1933,100396197
Double Harness,69.0,1933,4949532
Of Human Bondage,83.0,1934,5943454
It Happened One Night,105.0,1934,45178289
The Merry Widow,99.0,1934,8644112
Treasure Island,103.0,1934,11686117
Anne of Green Gables,78.0,1934,7961418
The Painted Veil,85.0,1934,11244374
Stingaree,77.0,1934,5652305
The Thin Man,93.0,1934,14286378
Alice Adams,99.0,1935,7730507
Top Hat,101.0,1935,32146862
Private Worlds,84.0,1935,8223633
Star of Midnight,90.0,1935,8342
I Dream Too Much,97.0,1935,6425356
Mutiny on the Bounty,132.0,1935,44776704
Roberta,106.0,1935,23442512
The Informer,91.0,1935,9537638
Annie Oakley,90.0,1935,6224564
Anna Karenina,95.0,1935,14447012
San Francisco,115.0,1936,52938915
The Charge of the Light Brigade,115.0,1936,27468399
The Gorgeous Hussy,103.0,1936,20269992
Follow the Fleet,110.0,1936,27378043
Mary of Scotland,123.0,1936,12810554
The Bride Walks Out,75.0,1936,6726545
Modern Times,87.0,1936,85336768
The Milky Way,89.0,1936,11746355
Swing Time,103.0,1936,26103011
The Trail of the Lonesome Pine,102.0,1936,16724380
Camille,109.0,1936,28532599
The Woman I Love,85.0,1937,7861022
Stage Door,92.0,1937,17689810
Snow White and the Seven Dwarfs,83.0,1937,1856581567
Pépé le Moko,94.0,1937,1545458
Wise Girl,70.0,1937,4919413
The Toast of New York,109.0,1937,10521521
Maytime,132.0,1937,21916489
Saratoga,92.0,1937,20079239
The Firefly,131.0,1937,12489287
The Mad Miss Manton,80.0,1938,7188367
The Adventures of Robin Hood,102.0,1938,39967726
Mother Carey's Chickens,82.0,1938,7057852
You Can't Take It With You,126.0,1938,74625507
Carefree,83.0,1938,17378581
The Girl of the Golden West,121.0,1938,16033272
Room Service,78.0,1938,8784667
Vivacious Lady,90.0,1938,12107781
Blockade,85.0,1938,6681597
Algiers,96.0,1938,9555720
Sweethearts,114.0,1938,20249913
Alexander's Ragtime Band,106.0,1938,40158479
Allegheny Uprising,81.0,1939,7529714
Broadway Serenade,114.0,1939,6194445
The Story of Vernon and Irene Castle,93.0,1939,18322306
Ninotchka,110.0,1939,22880293
The Wizard of Oz,102.0,1939,338887034
Love Affair,88.0,1939,17569334
"Goodbye, Mr. Chips",114.0,1939,32648843
Stagecoach,96.0,1939,11081300
Idiot's Delight,107.0,1939,11716236
Mr. Smith Goes to Washington,129.0,1939,96380349
The Women,133.0,1939,22789936
Bachelor Mother,82.0,1939,19828249
In Name Only,94.0,1939,13262337
The Great Man Votes,72.0,1939,4337115
Gone with the Wind,238.0,1939,4017619494
Pinocchio,88.0,1940,846339947
Bitter Sweet,94.0,1940,9758510
The Philadelphia Story,112.0,1940,30118859
The Sea Hawk,127.0,1940,20079239
Boom Town,119.0,1940,92083392
Strike Up the Band,120.0,1940,35078431
Escape,98.0,1940,13623764
The Great Dictator,125.0,1940,110435817
Fantasia,124.0,1940,836501120
Rebecca,130.0,1940,60237718
You'll Find Out,97.0,1940,10340808
Abe Lincoln in Illinois,110.0,1940,6686386
Dr. Jekyll and Mr. Hyde,113.0,1941,12840673
Mr. & Mrs. Smith,95.0,1941,14055467
Dumbo,64.0,1941,16063391
Suspicion,99.0,1941,45178289
Sergeant York,134.0,1941,164267104
The Devil and Miss Jones,92.0,1941,14266299
How Green Was My Valley,118.0,1941,60237718
Citizen Kane,119.0,1941,233096619
The Maltese Falcon,100.0,1941,10039619
Bambi,70.0,1942,2685067697
Casablanca,102.0,1942,105039521
My Gal Sal,103.0,1942,20079239
Cat People,73.0,1942,40158479
Mrs. Miniver,134.0,1942,135534867
Invisible Agent,81.0,1942,10441204
Random Harvest,126.0,1942,46684231
For Me and My Gal,104.0,1942,43883178
Kings Row,127.0,1942,51131783
The Man from Down Under,103.0,1943,10742393
Five Graves to Cairo,96.0,1943,12047543
Coney Island,96.0,1943,35138669
Cabin in the Sky,98.0,1943,16129894
Going My Way,130.0,1944,163645802
A Guy Named Joe,120.0,1944,53842480
Bathing Beauty,101.0,1944,69193059
The White Cliffs of Dover,126.0,1944,40610262
To Have and Have Not,100.0,1944,36644612
Wilson,154.0,1944,20079239
Double Indemnity,107.0,1944,25099049
Laura,88.0,1944,20079239
Blithe Spirit,96.0,1945,4539434
The Valley of Decision,119.0,1945,91681807
The Lost Weekend,101.0,1945,110435817
The Bells of St. Mary's,126.0,1945,213843901
Caesar and Cleopatra,138.0,1945,22087163
Scarlet Street,103.0,1945,29600674
Spellbound,111.0,1945,70277338
Mildred Pierce,111.0,1945,56603376
Duel in the Sun,144.0,1946,204808243
The Harvey Girls,102.0,1946,52206022
It's a Wonderful Life,130.0,1946,96823338
The Best Years of Our Lives,172.0,1946,237437007
Canyon Passage,92.0,1946,42805434
Notorious,102.0,1946,245616707
Gentleman's Agreement,118.0,1947,78309034
Mourning Becomes Electra,173.0,1947,4367234
The Bachelor and the Bobby-Soxer,95.0,1947,55719889
Quai des Orfèvres,106.0,1947,1535670
The Treasure of the Sierra Madre,126.0,1948,43240642
Tap Roots,109.0,1948,33067074
Adventures of Don Juan,110.0,1948,50198098
Miranda,80.0,1948,8376376
3 Godfathers,106.0,1948,28522559
Fort Apache,125.0,1948,30118859
Winter Meeting,104.0,1948,10872908
Ladri di biciclette,93.0,1948,3631450
The Pirate,102.0,1948,29677116
Rope,80.0,1948,22087163
Blood on the Moon,88.0,1948,883
Red River,133.0,1948,90477053
The Barkleys of Broadway,109.0,1949,32126783
The Third Man,104.0,1949,5987117
Battleground,118.0,1949,47186212
Tulsa,90.0,1949,23496083
Samson and Delilah,128.0,1949,115455627
Take Me Out to the Ball Game,93.0,1949,40158479
Sands of Iwo Jima,100.0,1949,78309034
Twelve O'Clock High,132.0,1949,32377773
She Wore a Yellow Ribbon,103.0,1949,54213946
Ma and Pa Kettle Go to Town,79.0,1950,21836173
Father of the Bride,92.0,1950,41664422
Three Came Home,106.0,1950,19075277
All About Eve,138.0,1950,637144
Sunset Boulevard,110.0,1950,50198098
Fancy Pants,92.0,1950,26103011
羅生門,88.0,1950,969506
Breakthrough,91.0,1950,19075277
Kim,113.0,1950,29114897
Annie Get Your Gun,107.0,1950,80316958
Never a Dull Moment,89.0,1950,14306458
King Solomon's Mines,103.0,1950,100898178
Wabash Avenue,92.0,1950,20470784
Broken Arrow,93.0,1950,35640650
Three Little Words,102.0,1950,27106973
The Black Rose,116.0,1950,26604992
Dallas,94.0,1950,22087163
Kansas Raiders,80.0,1950,12047543
Cinderella,74.0,1950,2646357584
Rawhide,89.0,1951,19577258
"Rich, Young and Pretty",95.0,1951,17569334
Storm Warning,93.0,1951,12549524
Payment on Demand,90.0,1951,16063391
On the Riviera,89.0,1951,25099049
Ace in the Hole,111.0,1951,13051505
A Place in the Sun,122.0,1951,70277338
Royal Wedding,93.0,1951,26103011
My Forbidden Past,70.0,1951,11545562
Alice in Wonderland,75.0,1951,5742662515
On Moonlight Bay,95.0,1951,25099049
Fort Worth,80.0,1951,14557448
Ten Tall Men,97.0,1951,18071315
Starlift,103.0,1951,19075277
The Enforcer,87.0,1951,20079239
Let's Make It Legal,77.0,1951,12549524
The African Queen,105.0,1951,107925912
No Highway in the Sky,98.0,1951,11545562
Decision Before Dawn,119.0,1951,15561410
Abbott and Costello Meet the Invisible Man,82.0,1951,15561410
Show Boat,107.0,1951,110435817
Detective Story,103.0,1951,28110935
The Blue Veil,113.0,1951,35640650
His Kind of Woman,120.0,1951,20079239
The Mob,87.0,1951,10541600
Valentino,102.0,1951,15561410
Saturday's Hero,111.0,1951,11545562
A Streetcar Named Desire,125.0,1951,80316958
An American in Paris,113.0,1951,45178289
The River,99.0,1951,10039619
"Goodbye, My Fancy",107.0,1951,13051505
Anne of the Indies,81.0,1951,15561410
Strangers on a Train,101.0,1951,70277338
Along the Great Divide,88.0,1951,14055467
A Millionaire for Christy,91.0,1951,10039619
Westward the Women,118.0,1951,27608954
Quo Vadis,171.0,1951,301188593
Across the Wide Missouri,78.0,1951,27608954
Angels in the Outfield,99.0,1951,14055467
Diplomatic Courier,97.0,1952,14055467
生きる,143.0,1952,554588
5 Fingers,108.0,1952,13553486
Against All Flags,83.0,1952,16063391
Phone Call from a Stranger,105.0,1952,13553486
Plymouth Adventure,105.0,1952,30118859
My Cousin Rachel,98.0,1952,13051505
Scaramouche,115.0,1952,67727275
The Stooge,100.0,1952,35138669
The World in His Arms,104.0,1952,30118859
Sailor Beware,108.0,1952,43170365
The Thief,85.0,1952,10039619
The Cimarron Kid,84.0,1952,12549524
Pony Soldier,82.0,1952,16565372
The Greatest Show on Earth,152.0,1952,361426312
Above and Beyond,122.0,1952,25099049
High Noon,85.0,1952,80316958
Dreamboat,83.0,1952,20079239
Affair in Trinidad,98.0,1952,70277338
We're Not Married!,86.0,1952,20079239
Scarlet Angel,81.0,1952,15059429
Monkey Business,97.0,1952,20079239
The Duel at Silver Creek,77.0,1952,12549524
Million Dollar Mermaid,115.0,1952,27608954
The Lusty Men,113.0,1952,15059429
The Las Vegas Story,88.0,1952,12047543
Road to Bali,91.0,1952,30118859
The Prisoner of Zenda,96.0,1952,56502980
Jeux interdits,86.0,1952,102283
Deadline - U.S.A.,87.0,1952,12549524
Singin' in the Rain,103.0,1952,72285262
Carrie,118.0,1952,18071315
Abbott and Costello Meet Captain Kidd,70.0,1952,20079239
The Merry Widow,105.0,1952,45178289
The Sword and the Rose,92.0,1953,10039619
Scared Stiff,108.0,1953,35138669
Peter Pan,77.0,1953,877509463
Beneath the 12-Mile Reef,102.0,1953,36142631
The Robe,135.0,1953,361426312
Lili,81.0,1953,15059429
Salome,103.0,1953,47688193
The Caddy,95.0,1953,35138669
The War of the Worlds,85.0,1953,20079239
From Here to Eternity,118.0,1953,306208403
Titanic,98.0,1953,49244335
The Lawless Breed,83.0,1953,13051505
How to Marry a Millionaire,95.0,1953,75297148
The Moon Is Blue,99.0,1953,35138669
Arrowhead,105.0,1953,12047543
Call Me Madam,114.0,1953,28612916
Gentlemen Prefer Blondes,91.0,1953,51202060
Escape from Fort Bravo,99.0,1953,20079239
I Confess,95.0,1953,20079239
The Desert Song,110.0,1953,20079239
Jeopardy,69.0,1953,12047543
Robot Monster,66.0,1953,10039619
Island in the Sky,109.0,1953,27608954
All I Desire,79.0,1953,12047543
Shane,118.0,1953,200792395
The Moonlighter,77.0,1953,10039619
Abbott and Costello Meet Dr. Jekyll and Mr. Hyde,76.0,1953,12047543
"The Beast from 20,000 Fathoms",80.0,1953,50198098
All the Brothers Were Valiant,101.0,1953,47286609
Battle Circus,90.0,1953,15310420
Hondo,83.0,1953,41162441
"Ride, Vaquero!",90.0,1953,16565372
House of Wax,90.0,1953,238942950
The Living Desert,69.0,1953,26103011
Roman Holiday,119.0,1953,120475437
By the Light of the Silvery Moon,101.0,1953,21334192
Pony Express,101.0,1953,14055467
Niagara,92.0,1953,85336768
So Big,101.0,1953,20079239
The Story of Three Loves,122.0,1953,13553486
Take Me to Town,81.0,1953,10039619
Living It Up,95.0,1954,42668384
Dial M for Murder,104.0,1954,30118859
Johnny Guitar,110.0,1954,25099049
The Country Girl,104.0,1954,69273376
Prince Valiant,100.0,1954,26103011
Phffft!,88.0,1954,15561410
3 Ring Circus,103.0,1954,40158479
Désirée,110.0,1954,45178289
The Egyptian,139.0,1954,150594296
The Last Time I Saw Paris,116.0,1954,1054
Woman's World,94.0,1954,30118859
Rear Window,112.0,1954,369099724
Magnificent Obsession,108.0,1954,50198098
七人の侍,207.0,1954,2729180
Sabrina,113.0,1954,100396197
Vera Cruz,94.0,1954,110435817
Creature from the Black Lagoon,79.0,1954,13051505
Red Garters,91.0,1954,13051505
White Christmas,120.0,1954,120475437
Seven Brides for Seven Brothers,102.0,1954,50198098
Brigadoon,108.0,1954,22589144
Riding Shotgun,73.0,1954,14055467
The Black Knight,85.0,1954,13051505
Black Widow,95.0,1954,25099049
The Student Prince,107.0,1954,26103011
Beachhead,90.0,1954,14055467
The Caine Mutiny,124.0,1954,218361730
Phantom of the Rue Morgue,83.0,1954,14557448
Susan Slept Here,98.0,1954,22589144
On the Waterfront,108.0,1954,96380349
The Naked Jungle,95.0,1954,23091125
"20,000 Leagues Under the Sea",127.0,1954,283117277
The Silver Chalice,142.0,1954,32126783
Man with the Gun,83.0,1955,18071315
Du rififi chez les hommes,122.0,1955,4620494
The Kentuckian,104.0,1955,26103011
The Rose Tattoo,117.0,1955,42166403
The Trouble with Harry,99.0,1955,70277338
The Desperate Hours,112.0,1955,25099049
Conquest of Space,81.0,1955,10039619
Revenge of the Creature,82.0,1955,11043581
Man Without a Star,89.0,1955,22087163
"Davy Crockett, King of the Wild Frontier",93.0,1955,21585182
Mister Roberts,123.0,1955,85336768
The Fast and the Furious,73.0,1955,2509904
The Long Gray Line,138.0,1955,41162441
Battle Cry,149.0,1955,80316958
The Far Country,97.0,1955,25099049
Bad Day at Black Rock,81.0,1955,38030079
The Rawhide Years,85.0,1955,10039619
New York Confidential,87.0,1955,13051505
Love Is a Many-Splendored Thing,102.0,1955,30118859
Tarantula,80.0,1955,11043581
You're Never Too Young,102.0,1955,34134707
Blackboard Jungle,101.0,1955,52708003
The Left Hand of God,87.0,1955,40158479
To Catch a Thief,106.0,1955,87846673
The Tender Trap,111.0,1955,30118859
East of Eden,115.0,1955,50
Marty,90.0,1955,30118859
The Violent Men,96.0,1955,19577258
Lady and the Tramp,76.0,1955,939708411
Underwater!,99.0,1955,22087163
Soldier of Fortune,96.0,1955,27608954
Interrupted Melody,106.0,1955,18071315
All That Heaven Allows,89.0,1955,31122821
পথের পাঁচালী,125.0,1955,5384890
The Girl He Left Behind,103.0,1956,14055467
War and Peace,208.0,1956,125495247
The King and Four Queens,86.0,1956,22589144
Moby Dick,116.0,1956,104412045
The Opposite Sex,117.0,1956,17569334
Around the World in Eighty Days,167.0,1956,421664030
Beyond a Reasonable Doubt,80.0,1956,11043581
The Vagabond King,86.0,1956,14055467
The Swan,104.0,1956,19075277
Carousel,128.0,1956,37648574
The Ten Commandments,220.0,1956,1231861347
Crime in the Streets,91.0,1956,12047543
Tea and Sympathy,122.0,1956,20079239
Lust for Life,122.0,1956,16063391
The Bad Seed,129.0,1956,41162441
Giant,201.0,1956,351386692
Love Me Tender,89.0,1956,90356578
The Man in the Gray Flannel Suit,153.0,1956,43672346
অপরাজিত,110.0,1956,1708893
23 Paces to Baker Street,103.0,1956,10039619
The Last Hunt,108.0,1956,33733122
Earth vs. the Flying Saucers,83.0,1956,12549524
Forbidden Planet,98.0,1956,32628764
Invasion of the Body Snatchers,80.0,1956,30118859
Trapeze,105.0,1956,144570524
The Man Who Knew Too Much,120.0,1956,102906102
Bus Stop,96.0,1956,42668384
The Searchers,119.0,1956,98388273
The King and I,133.0,1956,213843901
Back from Eternity,100.0,1956,15059429
Away All Boats,114.0,1956,35138669
The Fastest Gun Alive,89.0,1956,22087163
Somebody Up There Likes Me,113.0,1956,33733122
Julie,99.0,1956,14055467
The Solid Gold Cadillac,99.0,1956,24095087
The Wrong Man,105.0,1956,20079239
The Rack,100.0,1956,7680309
The Spirit of St. Louis,135.0,1957,26103011
I Was a Teenage Werewolf,76.0,1957,20079239
The Bridge on the River Kwai,161.0,1957,273077658
Man of a Thousand Faces,122.0,1957,24095087
The Amazing Colossal Man,80.0,1957,8513597
Perri,75.0,1957,17569334
Jailhouse Rock,96.0,1957,40158479
12 Angry Men,96.0,1957,10039619
3:10 to Yuma,92.0,1957,18573296
The Story of Esther Costello,103.0,1957,10792591
Saint Joan,110.0,1957,4015847
The Three Faces of Eve,91.0,1957,14055467
The Wayward Bus,87.0,1957,17569334
Le notti di Cabiria,110.0,1957,7550245
Pal Joey,111.0,1957,67265452
Until They Sail,94.0,1957,13051505
Legend of the Lost,109.0,1957,22087163
Gunfight at the O.K. Corral,122.0,1957,117965532
The Little Hut,90.0,1957,36142631
Silk Stockings,117.0,1957,22589144
The Bachelor Party,92.0,1957,15059429
Sayonara,147.0,1957,220872789
The D.I.,106.0,1957,25099049
The Joker Is Wild,126.0,1957,30118859
A Hatful of Rain,109.0,1957,15059429
Tammy and the Bachelor,89.0,1957,30118859
Witness for the Prosecution,116.0,1957,90356578
Funny Face,103.0,1957,25099049
Island in the Sun,119.0,1957,50198098
The Wings of Eagles,110.0,1957,22589144
The Pajama Game,101.0,1957,25099049
The Sun Also Rises,130.0,1957,38301149
The Delicate Delinquent,101.0,1957,34134707
The Shiralee,99.0,1957,9236450
South Pacific,157.0,1958,369458008
Vertigo,128.0,1958,281109353
Touch of Evil,95.0,1958,22563694
Cat on a Hot Tin Roof,108.0,1958,176399372
Macabre,72.0,1958,50198098
The Fly,94.0,1958,30118859
I Want to Live!,120.0,1958,56640633
The Hunters,108.0,1958,21083201
Ascenseur pour l'échafaud,88.0,1958,2644476
Attack of the 50 Foot Woman,65.0,1958,4819017
Journey to the Center of the Earth,132.0,1959,100396197
Ben-Hur,212.0,1959,1474820146
The Nun's Story,149.0,1959,128507133
Say One for Me,120.0,1959,36142631
The Gazebo,100.0,1959,33231141
Some Like It Hot,122.0,1959,250990494
Rio Bravo,141.0,1959,58229794
অপুর সংসার,117.0,1959,160633
Solomon and Sheba,139.0,1959,122483361
Sleeping Beauty,75.0,1959,512020608
North by Northwest,136.0,1959,133275952
Operation Petticoat,124.0,1959,68269414
Exodus,208.0,1960,218361730
High Time,103.0,1960,25099049
The Magnificent Seven,128.0,1960,49244335
House of Usher,79.0,1960,14557448
The Time Machine,103.0,1960,26203407
Elmer Gantry,146.0,1960,104412045
Psycho,109.0,1960,321267833
The Alamo,167.0,1960,79312996
Spartacus,197.0,1960,602377186
BUtterfield 8,109.0,1960,75819208
Ποτέ την Κυριακή,91.0,1960,80316958
Peeping Tom,101.0,1960,842896
The Apartment,125.0,1960,250990494
La dolce vita,174.0,1960,195933219
Flaming Star,101.0,1960,50198098
Swiss Family Robinson,126.0,1960,401584791
The Grass Is Greener,104.0,1960,60237718
The Bellboy,72.0,1960,100396197
Cinderfella,91.0,1960,71281300
Parrish,138.0,1961,41560461
Return to Peyton Place,123.0,1961,98915659
The Misfits,124.0,1961,81141853
The Pit and the Pendulum,80.0,1961,19790695
"One, Two, Three",115.0,1961,39581391
Lover Come Back,107.0,1961,79
Judgment at Nuremberg,186.0,1961,98953479
Une Femme est une femme,84.0,1961,996016
Breakfast at Tiffany's,110.0,1961,94005805
Voyage to the Bottom of the Sea,105.0,1961,69267435
One Hundred and One Dalmatians,79.0,1961,2136207861
The Hustler,134.0,1961,75204644
One-Eyed Jacks,141.0,1961,42549996
King of Kings,168.0,1961,143317808
West Side Story,152.0,1961,431999445
The Guns of Navarone,158.0,1961,285975556
The Absent-Minded Professor,96.0,1961,251157854
Pocketful of Miracles,136.0,1961,49476739
The Manchurian Candidate,126.0,1962,940926693
Tales of Terror,89.0,1962,14685777
What Ever Happened to Baby Jane?,135.0,1962,88114666
The Miracle Worker,106.0,1962,24476296
Mutiny on the Bounty,178.0,1962,133934293
How the West Was Won,162.0,1962,489525926
The Longest Day,178.0,1962,490504978
Birdman of Alcatraz,147.0,1962,30350607
Premature Burial,81.0,1962,12238148
Lolita,153.0,1962,90562296
Lawrence of Arabia,216.0,1962,685291114
The Man Who Shot Liberty Valance,123.0,1962,78324148
State Fair,118.0,1962,34266814
Satan Never Sleeps,125.0,1962,11748622
Vivre sa vie: film en douze tableaux,85.0,1962,240034
Dr. No,110.0,1962,583514904
To Kill a Mockingbird,129.0,1962,128548000
The Music Man,151.0,1962,78324148
Eegah,90.0,1962,32054
From Russia with Love,115.0,1963,763309470
"It's a Mad, Mad, Mad, Mad World",163.0,1963,580472561
Tom Jones,128.0,1963,363762805
Cleopatra,248.0,1963,686892531
The Raven,86.0,1963,14504800
Le Mépris,103.0,1963,5112299
The Birds,119.0,1963,110323928
Hud,112.0,1963,96745426
Blood Feast,67.0,1963,38698170
Donovan's Reef,109.0,1963,63851981
The Great Escape,172.0,1963,113622386
Sunday in New York,105.0,1963,17414176
The Pink Panther,115.0,1963,105240710
Charade,113.0,1963,130360476
The Sword in the Stone,79.0,1963,214604121
55 Days at Peking,154.0,1963,96745426
The Train,133.0,1964,64981336
My Fair Lady,170.0,1964,688713592
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,95.0,1964,90211984
A Shot in the Dark,102.0,1964,118191820
Ride the Wild Surf,101.0,1964,10263228
A Hard Day's Night,88.0,1964,117536597
Mary Poppins,139.0,1964,977326249
Per un pugno di dollari,99.0,1964,138563144
Roustabout,101.0,1964,28668236
The Night of the Iguana,125.0,1964,114672946
The Fall of the Roman Empire,188.0,1964,45391374
Goldfinger,110.0,1964,1193373283
The Yellow Rolls-Royce,122.0,1964,51602826
Marnie,130.0,1964,66892552
Zulu,138.0,1964,76448631
Bande à part,97.0,1964,1747395
Doctor Zhivago,197.0,1965,1055429335
Major Dundee,123.0,1965,140332
The Cincinnati Kid,102.0,1965,143984331
Per qualche dollaro in più,132.0,1965,141531125
Do Not Disturb,102.0,1965,49771779
Those Magnificent Men in Their Flying Machines or How I Flew from London to Paris in 25 hours 11 minutes,138.0,1965,282590481
The Great Race,160.0,1965,239030342
Thunderball,130.0,1965,1332238695
A Patch of Blue,105.0,1965,64085293
The Sound of Music,174.0,1965,2700548673
Cat Ballou,97.0,1965,194998443
The Greatest Story Ever Told,199.0,1965,145997215
The Sand Pebbles,182.0,1966,185763501
Hawaii,189.0,1966,321019969
La battaglia di Algeri,121.0,1966,8559499
The Silencers,102.0,1966,151565592
Dracula: Prince of Darkness,90.0,1966,3389598
The Glass Bottom Boat,110.0,1966,85451210
Torn Curtain,128.0,1966,120746276
Grand Prix,176.0,1966,193612158
"Il buono, il brutto, il cattivo",161.0,1966,55729050
Who's Afraid of Virginia Woolf?,131.0,1966,313352274
Django,93.0,1966,160471
The Professionals,117.0,1966,181466290
L'armata Brancaleone,120.0,1966,12206798
El Dorado,120.0,1966,55729050
A Man for All Seasons,120.0,1966,263319763
Harper,121.0,1966,111458101
Au hasard Balthazar,95.0,1966,365842
Fantastic Voyage,100.0,1966,111458101
Casino Royale,131.0,1967,376383988
Cool Hand Luke,126.0,1967,146224729
Double Trouble,90.0,1967,14426121
Divorce American Style,109.0,1967,108195912
La chinoise,96.0,1967,278216
The Taming of the Shrew,122.0,1967,72130608
You Only Live Twice,117.0,1967,1006084822
The Jungle Book,78.0,1967,1855953122
Hombre,111.0,1967,108195912
The War Wagon,96.0,1967,54097956
In Cold Blood,134.0,1967,117280321
Le Samouraï,105.0,1967,355973
The Fox,110.0,1967,172632989
Le Samouraï,105.0,1967,355973
Guess Who's Coming to Dinner,108.0,1967,510925146
Bonnie and Clyde,111.0,1967,457127731
Point Blank,92.0,1967,28852243
A Countess from Hong Kong,113.0,1967,18032652
The Dirty Dozen,150.0,1967,408439570
The Born Losers,113.0,1967,324587738
Luv,93.0,1967,9016326
The Graduate,106.0,1967,946221088
Valley of the Dolls,123.0,1967,450816302
The Ambushers,102.0,1967,90163260
Doctor Dolittle,152.0,1967,81146934
Wait Until Dark,108.0,1967,99179586
Le plus vieux métier du monde,119.0,1967,1072
The Comedians,152.0,1967,46884895
In the Heat of the Night,109.0,1967,246866809
Night of the Living Dead,96.0,1968,263192030
Funny Girl,149.0,1968,458158599
Chitty Chitty Bang Bang,144.0,1968,68429928
Romeo and Juliet,138.0,1968,341283019
The Green Berets,142.0,1968,96503744
2001: A Space Odyssey,149.0,1968,602709750
Vixen!,70.0,1968,52638406
Candy,124.0,1968,143951003
C'era una volta il West,175.0,1968,46685949
La mariée était en noir,107.0,1968,390980
Hang 'em High,114.0,1968,59656860
The Odd Couple,106.0,1968,390640438
"Yours, Mine and Ours",111.0,1968,227333204
Planet of the Apes,112.0,1968,292980333
Bandolero!,106.0,1968,105276812
Charly,103.0,1968,7147119
If....,111.0,1968,4386533
Star!,176.0,1968,122822947
The Wrecking Crew,105.0,1968,21055362
Bullitt,113.0,1968,371108422
Barbarella,98.0,1968,21932669
With Six You Get Eggroll,95.0,1968,88565873
Where Were You When the Lights Went Out?,89.0,1968,70079264
Where Eagles Dare,155.0,1968,184234421
Oliver!,153.0,1968,328137972
Rosemary's Baby,136.0,1968,292980333
Shalako,113.0,1968,22985437
Coogan's Bluff,93.0,1968,27284240
On Her Majesty's Secret Service,142.0,1969,689704985
Topaz,143.0,1969,50481921
The Wild Bunch,145.0,1969,5373304
L'Armée des ombres,145.0,1969,6240962
Last Summer,97.0,1969,25
"They Shoot Horses, Don't They?",129.0,1969,106012034
A Boy Named Charlie Brown,86.0,1969,50481921
Easy Rider,95.0,1969,351089967
The Sterile Cuckoo,107.0,1969,117642707
100 Rifles,110.0,1969,29447787
Winning,123.0,1969,123212361
Alice's Restaurant,111.0,1969,53006017
Z,127.0,1969,700899
Paint Your Wagon,158.0,1969,266534263
Butch Cassidy and the Sundance Kid,110.0,1969,860791549
"Hello, Dolly!",146.0,1969,279401440
True Grit,128.0,1969,119894563
Bob & Carol & Ted & Alice,101.0,1969,252409607
The Undefeated,119.0,1969,67309228
Sweet Charity,149.0,1969,168273071
Midnight Cowboy,113.0,1969,376805921
Cactus Flower,103.0,1969,217822827
The Wedding Party,92.0,1969,361
Hard Contract,106.0,1969,14723893
Love Story,99.0,1970,1088181661
Five Easy Pieces,98.0,1970,144392220
Kelly's Heroes,144.0,1970,41484931
Beneath the Planet of the Apes,95.0,1970,151577307
Borsalino,126.0,1970,23
